id,video_id,author,text,abusive
Ugjg5B-9OiVfk3gCoAEC,zCmV4dX5tgs,Дмитрий Бессарабов,читаю комментарии и становится понятно что все кому лень думать вникать во внутреннюю и внешнюю политику россии те за хакамаду именно такие слепо идут на болотную майданы и прочие путчи т к зачем думать нам же сказали за свободу за справедливость крашенинникова уже для таких как вы все разжевала все по полочкам разложила хотя о чем это я это же все равно надо мозг включить и подумать а хакамада так задорно орет что грех ей не поверить ,False
Ugys6n_ewcf_tL4rxNl4AaABAg,ZRhHOMYxVCA,Grzegorz Brzęczyszczykiewicz,молодцы украинцы приятно видеть то как они боролись за свои права и свободы и били поганых мусоров слава украине ,True
UggJ9yhHrk3PXHgCoAEC,eP4ggwPaRts,Victor 56reg,клоуны блядь ,True
Ugj7OTh4krUF4XgCoAEC.7-H0Z7-8iSm7-LhJX2WXKV,TATn7Q207y0,nikolaj fastovec, арина корина обоснуйте своё обвинение с чего вы взяли что я фашист я ведь могу тоже написать что вы трассовая шлюха но если я не обосную то это только голословное обвинение и так с чего вы обвинили меня в фашизме ,True
Ugg6Lqi8aW6AangCoAEC,XW6hWPZglv8,New Divide,слава украине ,False
Ugg7oQeS12uDZHgCoAEC,3OIuCNGkgN4,Шакіров Любомир,молодці так їм ,False
UggiRXNYCNkktHgCoAEC,T6IbEIBhb8o,васёк васьков,эй комментаторы в армии хотя бы в стройбате кто нить служил так не работают снайпера с прикрытием да ещё этот бендеркомментатор в нескольких метрах от злодеев это продолжение сериала предыдущие серии голый хрен с пейсом на макушке потом отрезанные уши и т д ,False
UgjmSQXWn4IlHngCoAEC.7-H0Z7-Hc3-7-Wt-QJJ69w,zCmV4dX5tgs,Ев Завал, мариша клишечто значит сергать люди требуют выборов а не казни это перезагрузка а не свержение если так рассуждать как вы то изменения всегда будут не к месту всегда чего то или кого то не хватает а украина в любом случае не будет без власти ведь есть парламент кабмин местные органы власти ,False
Ugg3dT4eAp1B63gCoAEC.7-H0Z7-0WLA7-J1r6xV5b9,wObv3OVPk30,Александр Шемелин,читай аннотацию ,False
UgjTiRfKi2y0CXgCoAEC,zCmV4dX5tgs,Alex Reutov,я вот не могу понять если я ненавижу януковича вместе с его комуноуголовную семейку и хочу его сместить значит я фашист значит люди которые грабят страну последние года это молодцы классные ребята а те кто хотят его сместить фашисты почему я не имею право в собственной стране развиваться люди которые вышли на майдан хотят только одного иметь право на самозащиту и на саморазвитие мусорские чиновники при януковиче так охамели что могут любого закрыть в часа и надолго милиция в государстве отсутствует медицина отсутствует судов нет и это по мнению россиян хорошо а попытка изменить свою жизнь к лучшему фашизм че за бред нас достала эта комунофашистская мразь которая паразитирует на людях мы просто хотим жить свободно и быть увереными в завтрашнем дне что в этом плохого ,True
Ugg-E_CLwDvOn3gCoAEC,xZUzfzTLD4U,Super Midzy,так вот в чем дело хохлы просто решили снять супер крутой фильм со спецэффектами как у спилберга и экшном как у снайдера обязательно пойду в кинотеатр ,False
UggUJ8dNFM-7cHgCoAEC,NiT0zcDA9RU,vitaliu30,смерть виродкам мусорським до коліна ,True
UgjVlP_zh6M5wngCoAEC,yAqF2rEu-c0,rastapoltava,гори в аду крым донбасс украина оккупантам жестокая смерть путлер капут ,True
Ugit4fIzGfNv83gCoAEC,T6IbEIBhb8o,TKlimate,возникает вопрос почему снайпер только один и где пулеметчики почему их не видно ,False
Ugjv9EBPODhccngCoAEC.7-H0Z7-Roca7-HUVUk9u42,KLugDbnOhws,Felix,так ты двуличный мудак живешь в европе а в украине хочешь видеть зону под паханатом янукевича я не от тебя бабло получаю не волнуйся сибирь пишется через и грн получает титушка баксов беркут баксов тихарь мент ну а снайпер конечно больше и не пори гарячку про снег я тебя умоляю это бред ,True
UghI9hWizIbOBngCoAEC.7-H0Z7-S5yq7-H4IdTHrUY,yjMs_vAV6S8,desrtom, александр пяткин бандеровцев бить можно и нужно ,True
UgiwFyejafWsw3gCoAEC,GItQLVTo4EI,ж ц,идейные дураки ,True
UgzKQ7Hzt2FGD7_shIt4AaABAg,zCmV4dX5tgs,Артур Маннанов,ирина молодец интересная женщина ,False
UgheUk3yl6Ovp3gCoAEC,KUCR8xORoUo,852369951,слава украине ,False
UgjRKVWPhQUnW3gCoAEC,zCmV4dX5tgs,bob g,передачка во главе пидора сасет у путлера и доволен ,True
UgiXBHC7CT_9j3gCoAEC,7xpI5dMsnEM,legat,эти выродки не только о присяге забыли но уже в них ничего человеческого не осталось продались режиму и дьяволу так теперь пусть не удивляются что народ им не только не доверяет но презирает и ненавидит жаль что название беркут как слово нарицательное звучит им больше название из падальщиков подойдет стервятники ,True
Ughw50MaajMaj3gCoAEC.7-H0Z7-R_lN7-I6s5V2rBs,xZUzfzTLD4U,Юра,это не революция а продажные америкосные шестерки ,True
UgjG1EIXs7u90HgCoAEC.7-H0Z7-9Z8q7O9RxykGZH3,IC7sx75-A0Q,nabuchiko, эрик хотя ничего скоро мы все равно мы узнаем всю правду стоит нам только в очередной раз подружиться с американцами они выведут из црушных комнат все это из под грифа и представят на всеобщее внимание и осуждение правда пройдет не мало лет многие даже забудут эту катастрофу ,False
UgiQG6vY9W3OPHgCoAEC,KUCR8xORoUo,Роман Грицай,саша україна з тобою завжди ,False
Ugii_Ne3g_NKlXgCoAEC.7-H0Z7-59tx7-HDujqcdTE,T6IbEIBhb8o,Elvis Presly,скажешь это им когда в тебя стрелять начнут ,False
UgjFW0S-0WWMjngCoAEC,SwZ_LW9NsUE,Gold Times,зажигательными по етим зверям гасить надо ебаные продажные суки стоят там за гр ,True
UgiyJyydIcHZgngCoAEC.7-H0Z7--Q6-70Rh36zFAar,K0icRY1Ae5A,Floki, украина свободная страна вы хотите сказать что на том видео из одессы одни агенты фсб ,False
Ugi_Iu5yLukSZXgCoAEC,FXCliOGt0Jc,Алексей Р,параноидальная мания преследования это про этого гаврика и хрень про все видео в целом ,True
UgggwXhuLExQsXgCoAEC,SwZ_LW9NsUE,сталин иосиф,это бред милиция раздевает и расстреливает провокаторы придумайте что то менее маразматичное ,False
UgjRbOAECULtW3gCoAEC,NiT0zcDA9RU,Svitlana Sumtsova,по видимому беркут заслан с россии ,False
UgjiJFJRxpaK4HgCoAEC.7-H0Z7-4JBi7-HvxBXifsD,uhwtsjFbQK4,Vitalij Kovpak,украину как она есть хочет только тс а ес хочет чтоб мы у себя для начала как минимум порядки понаводили от страны где все держится на откатах и коррупции никому кроме россии пользы нет ,False
UgjXeE7n5tpsxHgCoAEC,T6IbEIBhb8o,medvedkovo2006,так их всех совсем охренели хохлы тока отстреливать и надо ,False
UghZ8UtqSvDGJngCoAEC.7-H0Z7-EUJv7-Jc23E1yXC,zCmV4dX5tgs,Александр Н, анна левицька анна если вы в своем уме то скорее вы платный тролль можно как угодно относиться к крашенинниковой но её доводы просто железные а хака просто жжет и делает эмоциональные выпады ,False
UggqKlsKSSv8iHgCoAEC.7-H0Z7-Dmeb74KKZly5P8V,_k-gDXrfu-s,misslenore1,ваня рус сволочь молись мразь гореть тебе в аду тварь москальская я плюю на тебя и на могилы твоих предков и на твою могилу буду плевать ,True
UgivgDz1nWkBpngCoAEC.7-H0Z7-F5SB763qdCGvdm3,zCmV4dX5tgs,Голубка мира,они только скакать жрать срать спать могут и им этого вполне хватает для счастья ,True
UggHAgZIz0VhjHgCoAEC.7-H0Z7-U_NU7-HoS7Ogra0,K0icRY1Ae5A,Русофобский Жидобандеровец,мудак монголский у тебя печалка твои братья чурки колорады не сняли в одессе свое самосожжение поэтому никаких кадров и нет ,True
UghWSYSzFUoMJHgCoAEC,3NGA7xvqC_Q,Degradation FM,пиздаболия вру ,True
UgyYCmDBdGtdUAQ_bqd4AaABAg,RMxbOKbjX3A,Ульяна Грибко,срубавши голову по волосам не плачут ,False
UghqKxdBy5afdngCoAEC,P0lJZttUnHE,Paul V. Lashkevich,к сожалению очень много нелюди пишет комментарии ,False
UggiHHXA-u28Z3gCoAEC.8AqGCoymfCm8GP4ofe06f3,XW6hWPZglv8,Chesnok,нет лучше оставить их россиюшке что бы она и их разворовала москалям в киев путь закрыт ,False
UgyCdcJ_KVjjVz19a554AaABAg,_k-gDXrfu-s,Net Work,за что стояле сука за новую полицию которая лишь прибавила понтов за цены космические за безвиз который нахер никому не нужен а проще уже визу сделать а за зарплаты в тысячу гривен а сука я за украину и сам я уроп да что толку то нихуя не изменилось ,True
UgjWSQwYWOzeR3gCoAEC,T6IbEIBhb8o,Налим Налимыч,этих беркутовских ублюдков ждет трибунал и зона как и их вора януковича а путин с лукашенко пусть ждут они следующие ,True
Ugi-5b2T-g7XzHgCoAEC.7-H0Z7-BS927076s4gHnxI,XW6hWPZglv8,Денис Путченко, афанасий крутиков ну за гроши с обеих сторон шакалов хватает и насколько я вижу информацию активно искажают с обеих сторон причем обильно посыпают своим мнением хотя нет вряд ли своим а у тебя я вижу мнение о востоке страны уже сложилось и не похоже что ты готов слушать чье то мнение зомби же не люди а значит с ними можно не считаться да и убить не жалко прямо милосердие ,True
UgidBz7HYiRDA3gCoAEC,3KyjqEmLJ7E,сергей титов,а я думаю вместо беркута сталинских пулеметчиков там надо поставить с приказом зачистить площадь от стада бешеных быдлотников сколько же этого дерьма развелося в нашей стране в европу захотели а что они сделали для этого за что голосуют лутше бы работали как все нормалиные люди на заводах и фабриках экономику подымали бы они думают украина европе нужна да плевать она хотела на украину у них своих проблем хватает самая главная проблема у них унижтожить славян любым способом ес это один из этих способов конечно же эта школота сыкунская живущая за мамины и папины деньги этого не поймет куда уж им там за евро бутеры с евро чам они и мать ролную продадут как это сделали ихнии бабки деды продали советский союз за банку гнилых консервов прежде чем идти в европу нужно жить по европейски научиться а не стоять с голым задом и требовать не понятно что ,True
UgiONdml2Y3daXgCoAEC,SwZ_LW9NsUE,Натали Иванова,ахах парни из кировограда там как раз так разговаривают на бендерской мове хоть бы врали красиво и где они бежали че то не увидела ,False
UggQDsIaKWRryXgCoAEC,T6IbEIBhb8o,семен гарельд,у силовиков калаши с другим прикладом а у этих гнид с повязками складные приклады это не силовики а боевики нанятые западом ,True
UgjX2T5Eo27CJ3gCoAEC,gapDCCE1NHU,Сергей К.,цирк а не видео и им это показывают уже весь мир живет в веке а россия все в войнушки хочет играть путин доведет россию до того что будет как с януковичем только бежать ему уже будет некуда жаль нормальных русских которым такую правдивую информацию доносят сми ,False
UgiW_gvLDKexrngCoAEC.7-H0Z7-BpO77-SZnqtcQch,F_y2fwWwyrU,Ярик Олифиренко,разницы нет вас везде одинаково ненавидят ,False
UghH9n3dUarc73gCoAEC,E950t1WGiE0,Жека Царев,лучше бы показали как поджигали заживо офицеров безоружныхи ну и хотя бы за чей счет сартиры содержались ой я забыл же что это канал патриота вити пинчука еврея которого буш и клинтон на юбилей приглашали тогда я не сомневаюсь в не предвзятости красава хорошо работает значит я согласен что сша не причем эти события стихийны а если даже и при чем то они спать спокойно не могли зная что где то в мире есть такой тиран янукович ведь они же любят украинушку матушку всей душой а мы все любим сша ,False
UggHAKHC6rtwjHgCoAEC.7-H0Z7-0KCB7-HHhj3ULj0,NiT0zcDA9RU,SOKILDNISTER,україна совісно й нескорено вставай й бандитам не прощай та всіх гадів гідно наш народе швидше покарай дивіться ютубвідео свтло віри й правди упа та благовіст довбуша все що сталось в киіві було передбачено божими пророцтвами ще з року які є в тих відео та в статтях нашоі інтернетпятірки офіцерів священників упа бандери голодюка попереду опівночі в грудні р має бути ява антихриста і призначення в киів царем путіна й тоді проти нього воскреснуть з небес з синеоким русим христом наші святі героі щоб помогти упа боротися із комунозлом бог нам помагав і поможе упа й украіна переможе щасливо слава украіні слава нації ,False
UghiP00M9i5tKHgCoAEC.7-H0Z7-MWYN7-H3Zsl-Chn,T6IbEIBhb8o,Александр Рудик, макс курбатов беркут применил дозволенную силу а в ответ получили коктейли молотова вот это уже криминал ,False
UghtNP4UmYiRmngCoAEC,NiT0zcDA9RU,xORFEYx,зечара тебя ждет судьба каддафи ,True
Ugh4wU1iV2bGB3gCoAEC,uhwtsjFbQK4,Oleg Super,сало всем хватило ,False
UghepbMWS82Hr3gCoAEC.7-H0Z7-QR6j7-HiQT03VTC,uhwtsjFbQK4,ffp, сеньор помидор так что в очень тяжелое время мы живем только внуки наши наверное вкусят плоды счастливой жизни ,False
UggW4ZkB5_wjEHgCoAEC.7-H0Z7-20au7-IGfS-66QT,SwZ_LW9NsUE,Zhenia Hunter, олег вяткин ну там хтось стоїть в німецький казці і кричить що він німець аву очніться то такі українці як ви нема там німців і англійцій там нема таких націй то ми свої да деякі продажні но то все одно люди україни як і ви всі ,False
UgiCAs5aUcYmzHgCoAEC.86G63nJK7YK89Ge6irShfU,H_ToRtwlvpI,Жёлтыи Вагончик, ,False
UgjAaD08o8lfPXgCoAEC,E950t1WGiE0,Іра Бутрин,де в рази підвищилися тарифи брехня як не соромно ,False
UgjN4IwFyBk_PngCoAEC,o9hyneGbGoM,yana skladanuk,так разом ми стіна ,False
Ughv0ySjCNJcaXgCoAEC.7-H0Z7-EtKp7-HqkNbcYfX,UJc7y4b1_eo,владимир владимирович, анна арич иди на хуй мелкими шагами ,True
UgiYVdbh49_U9ngCoAEC,7xpI5dMsnEM,Юрій Андраціон,вот зачем нам нужна реформа в правоохранительных органах но всем же пофиг ,True
UggU111Icphw6XgCoAEC.7-H0Z7-Mjsy7-UK_K5SFQk,rngYEzRxlWU,олег новиков, андрей карпина ты вообще думаешь что пишешь или ты под действием алкоголя ты написал мы усыпили донбасс анастезиолог что ли ты не родственник фарион случайно насчет обид если был в донецке то должен знать кто обижается я могу лишь расстроиться и поверь никак не из за тебя и твоих оскорблений ,False
Ugi9w1NBPRNxaHgCoAEC.7-H0Z7-CKLg7-JvkJf-fxY,3KyjqEmLJ7E,Alexandr Ukr,даун мабудь куплений пр черговий титушко клавіатурний ,True
UgiuFgIWQRly7XgCoAEC.7-H0Z7-RNGF7-HkB8Pl-HW,uhwtsjFbQK4,uostap1, николай негоголь я предпочту бути українцем а не тим і не іншим ,False
UgidhvKGCmLrVXgCoAEC,T6IbEIBhb8o,Максим Антонов,кроме доказательства применения огнестрельного оружия силовиками это видео доказывает отсутствие огнестрела у повстанцев в случае возможности ответного огня в полный рост вразвалочку не ходят уж этим хлопцам это точно известно ,False
UghYa6r1FBEYqHgCoAEC,TATn7Q207y0,Shamanestr,петиция закончилась цифрой ,False
Ugj0as0lZruwQngCoAEC,T6IbEIBhb8o,mak147611,где власть ведь война ,False
UggxrAWK_RY3g3gCoAEC.7-H0Z7-4DfC7-HD89Iw2Y8,KLugDbnOhws,g0ldenkey,да стыд и позор майдаунным оккупантам ,False
Ugh5n9YwTc8c7ngCoAEC.7-H0Z7-ECCA7-H7cePabLK,uhwtsjFbQK4,Isaías Gaddiel Peralta,ага европейска нация ох ели что ли ,True
UggNon1P4UUNC3gCoAEC,P3eau1H2MC4,Rollso,скоро за ведро строительного мусора будут сажать в сизо ,False
UgjIsNrXsL0AWXgCoAEC,T6IbEIBhb8o,Макс Стелс,а где нашивки беркута у снайпера я вижу только мудака позирующего на камеру и стреляющего в людей профи себя так не ведут ,True
UgjtwV8InCKJWngCoAEC.86VAVao2lMl89nzG41CSmu,E950t1WGiE0,zerownt,буковки выучи а потом по сайтам лазь ,False
UgiWWXPwhnTw1ngCoAEC.7-H0Z7-2FyL7-OkgX-rRs2,H_ToRtwlvpI,Alex Tkachov,вы уже помогли ,False
UghFbyr-uJCKT3gCoAEC.7-H0Z7-8L-Q7-LWH61BjDQ,F_y2fwWwyrU,Кирилл Голиков, мирослав карпюк ахаха эбалка не выросла еще эбака хуев твоя мама хуи сосала чтоб ты за интернет заплатил а ты хуйню всякую пишеш лучше бы что нибудь умное прочитал дефективный ,True
UggOJxihYqjikHgCoAEC,E950t1WGiE0,вано ваныч,тут правильно сказали на западе свои герои в центре свои на востоке свои герои и эти герои ни как не могут идти в одном направлении и уж тем более в единой стране невозможно строить три противоположные истории украина это ошибка это страна обреченная на развал не могут герои сс шагать рядом с героями освободителями от фашизма они враги а враги единую страну строить не могут ,False
Ugg5HDdk74YmG3gCoAEC,0U3z72_GuAk,Sergey Shevchuk,там не видно кто стрелял и стрелял ли вообще ролик не показательный ,False
UghFmQj531itZXgCoAEC,5dPVU8Gaa44,Лол лол,гандон ,True
Ugi0e-AW-mWqDXgCoAEC.8DgVfVpng7z8M3NofDdLfn,zCmV4dX5tgs,Darth Vader, уровень жизни показатель столь же бессмысленный сколь и средняя температура по больнице но каклоте не понять к европейской зарплате идут и европейские цены и европейские налоги и европейская безработица так что получается что в россии и даже на украине зарплата внезапно намного больше шкура продажная такая шкура ,True
UggR3_Bc0YfHgXgCoAEC,zCmV4dX5tgs,AndRejAkSs,если убрать всю словесную шелуху то все становится на свои места соглашение об ассоциации в плане экономики полная сдача слив украины факт подтвержденный всеми экспертами это приведет тотальному обнищанию народа и голодным смертям и к безысходности в плане политики значительная потеря сувернитета как во внешних так во внутренних делах при этом ни о вступлении в ес ни о безвизовом режиме ни о каких либо рабочих квотах речи вообще нет уже есть примеры ассоциации с ес тунис ливия египет и тд там царит демократия высокий уровень жизни и автобаны как в германии видимо ах да еще есть турция которая вступает в ес уже лет ,False
Ugg-QiddNasMDngCoAEC,seKRkKwUEdE,Stanislav Makarenko,очень надеюсь летом в украине попасть на ваше выступление в одессе киеве ,False
UgiHj2mRKRVAUHgCoAEC.7-H0Z7-J3o-7-H6r00J8pS,T6IbEIBhb8o,Андрей Максимов,иди в нато проститутка ,True
UgjbUCu4orQmtXgCoAEC.7-H0Z7-0sr07-LaKgrJNhg,6NeJfnvbFHE,Kонсул Юг,а вопрос на засыпку хочешь а как ты думаеш кто такими как вы сегодня правит да да да да наш президент с донецка а ты сучара подстилка польская ,True
UggAU00dop7e6ngCoAEC,FXCliOGt0Jc,Наталия Ростова,да все так и есть кирдык нам они давно готовили но мы не сдадимся ,False
UgiEX45e7vq9JHgCoAEC.7-H0Z7-PbjX7-H0kbtgYbn,0k8GVmgB9Hw,warenickk,да и гильза от пистолета к чему здесь или снайпер с пистолета стреляет ,False
UgjdfOty9JyW5ngCoAEC,T6IbEIBhb8o,Paul Reisen,наконецто бандеров крошат ,True
UgjFhniPQPDDn3gCoAEC.7-H0Z7-LcPf7-HVnxJZ9iU,SwZ_LW9NsUE,Don Grases, филлип брукс у вас есть основания полагать что я не умен ,False
UgifU1alsNJLAngCoAEC.86jN3Du9nQ78Ri9lPlqXkE,zCmV4dX5tgs,Владимир Оржеховский,там же в жопе ,True
Ugi0e-AW-mWqDXgCoAEC.8DgVfVpng7z8FFGydFPn49,zCmV4dX5tgs,Вадим Романюк,ты где живешь я вопрос задал а ты был в этой ущербной и неудобной сети чтоб давать оценку так что там про достижения майдана ,False
UggvdQqaJsVbyngCoAEC,LvzCpAFi1BU,Геннадий Геннадиевич,та как они заебали обосранцы с западной у нет украины засраки такой красивый город киев когда их уже водичкой обольют чтоб суки разбежались уроды ,True
UggfaIh3XnD8nHgCoAEC,IC7sx75-A0Q,Pete Grey,хороший клип уважаю стремление человека к свободе желаю братьям украинцам не испытывать феодального колониального и сырьевого гнёта привет из россии ,False
Ugg2wybkbD2F1ngCoAEC.7-H0Z7-Nu5O7-JqOHBm_Sf,zCmV4dX5tgs,Роман Николаевич,вот тебя рожа выдает финно наглая угорская народность европейская мордва ,True
Ugjsjmou6GoCfngCoAEC,GItQLVTo4EI,Игорь М.,срочно ищем владельца шестнадцати редких немецких снайперских винтовок ,False
Ugjxzbn2fR4QrXgCoAEC,IqFdatdem64,Mike Manson,блять переведите мне название ролика с этого уёбищного хохлядского ,True
UgjqdPq_lHTQC3gCoAEC,t8u6l6BNEb0,Виталий Шевченко,виктор фёдорович почему не разрешишь ребятам из беркута стрелять на поражение ,False
UggQBHjb8kL3qngCoAEC,IqFdatdem64,VEDIMpro,я согласен за референдум но с одной оговоркой что бы попутно была проведена федерализация страны ,False
UggsOhc3KPCMV3gCoAEC,t8u6l6BNEb0,RussianVodka132,дебилы западные нахуй с майдана хреново что беркут вас не поубивал ,True
Ugh1Pygk0gUZsngCoAEC,fcfF_63Rk_o,Игорь Савкин,а зачем они уже толпой бъют лежачих не перебор ли ,False
UghXZKyH0j9kd3gCoAEC.7-H0Z7-SO0S7-JuHcHx_e5,xZUzfzTLD4U,Mario Ghina,со мной вроде всё ок пока а вот с владой явно нет ,False
UgjTvA9nGVCmkHgCoAEC.7-H0Z7-7xdN7-SILu1Hp6W,T6IbEIBhb8o,Юрий Харчилава,на счет цвета повязок очень слабый аргумент это первое второе когда в году работали снайпера у белого дома вокруг на окружающей территории было убито много людей по траекториям было установлено что снайпера стреляли с точек одна была на крыше американского посольства американский посол опроверг эту информацию ельцин сделал вид что от туда на самом деле не могло быть снайперского огня и еще если эти смерти кому и были выгодны то только тому кто в результате пришел к власти без этих смертей взбудоражить народ на крайние шаги было нельзя и четвертое как объяснить безоружное стояние беркута и срочников вв если власть отдает приказ стрелять на поражение кто отдает приказ стрелять по толпе снайперам это дело пулеметчика пулеметная очередь останавливает враз ,False
Ugij7YbgDKtP7ngCoAEC,T6IbEIBhb8o,Людмила Раевская,поздно они это сделали ,False
UgjJ2hrbLhdIAXgCoAEC,T6IbEIBhb8o,Иван Пьянов,так и надо ,False
UghgY8EGM7GCfXgCoAEC,T6IbEIBhb8o,Игорь Федорченко,кацапы згиньте на хуй ,True
UgiQnxfrvk_ki3gCoAEC,T6IbEIBhb8o,Антон Тихорецкий,я конечно не провокатор но я бы на месте беркута стрелял боевыми дабы пресечь этот беспредел ,False
UggHq9Wj6wC_cXgCoAEC.7-H0Z7-B1xO70JdAiDh9lo,eP4ggwPaRts,Арсений Ушаков,ам причём тут ник ,False
UgjWoYPucCY8THgCoAEC.7-H0Z7-AR-p7-HCOacXptQ,XK1A8MPb6Ro,Виктор Протарзанов,они сражаются за колонизацию украины уничтожая на корню будущее своих потомков ,False
UghDCymUrFrBI3gCoAEC,FqAzeWrA3bw,j1smotri,что за тп на манеже эвромайдауна ,False
UgjYaoIfSp3FB3gCoAEC.7-H0Z7-7iPt7-HwxZJ9DRe,zCmV4dX5tgs,Gilles de Rais, юрий анатольевич уныло лалка ,False
